Date/Time,Latitude,Longitude,Hail size,Damage total,Insurance payout,Number of deaths,Number of injuries,
2003-01-06 03:30:00,-33.6300,150.2800,2.0,0,0,0,0,
2003-02-08 09:30:00,-35.1200,148.6700,4.4,0,0,0,0,
2003-02-09 09:30:00,-35.5300,149.6300,2.0,0,0,0,0,
2003-02-10 02:30:00,-34.2800,150.5800,2.0,0,0,0,0,
2003-02-10 02:40:00,-34.3100,149.9700,2.0,0,0,0,0,
2003-02-12 06:50:00,-34.2800,150.5800,2.0,0,0,0,0,
2003-02-13 02:50:00,-31.8900,152.5500,2.5,0,0,0,0,
2003-03-09 03:20:00,-33.1600,150.6800,2.8,0,0,0,0,
2003-03-09 04:00:00,-33.7300,150.5600,2.0,0,0,0,0,
2003-03-09 05:50:00,-32.6400,151.4200,3.0,0,0,0,0,
2003-03-09 20:30:00,-35.3200,149.1200,2.0,0,0,0,0,
2003-03-14 07:30:00,-35.3500,149.0800,2.0,0,0,0,0,
2003-03-20 04:45:00,-33.4500,151.4400,5.5,0,0,0,0,
2003-03-20 06:10:00,-32.7800,151.7300,2.0,0,0,0,0,
2003-03-20 08:30:00,-31.8800,152.3600,2.0,0,0,0,0,
2003-03-22 08:30:00,-28.7800,152.9800,3.0,0,0,0,0,
2003-03-23 05:50:00,-28.8800,153.0500,4.4,0,0,0,0,
2003-03-29 04:50:00,-35.3000,148.2200,4.4,0,0,0,0,
2003-03-30 05:00:00,-30.1300,153.0200,5.0,0,0,0,0,
2003-03-30 05:15:00,-31.8900,152.5500,2.0,0,0,0,0,
2003-03-30 05:30:00,-31.3300,152.8000,6.0,0,0,0,0,
2003-03-30 06:00:00,-29.6800,152.9300,6.0,0,0,0,0,
2003-03-30 06:00:00,-30.0490,153.1350,4.4,0,0,0,0,
2003-03-30 06:30:00,-28.9900,153.2900,2.0,0,0,0,0,
2003-03-30 07:30:00,-29.2000,153.2700,5.0,0,0,0,0,
2003-03-30 08:30:00,-28.6800,153.5200,2.0,0,0,0,0,
2003-05-12 04:00:00,-32.2490,148.6010,6.3,0,0,0,0,
2003-07-01 07:00:00,-34.5490,146.4010,0.5,0,0,0,0,
2003-08-18 07:00:00,-31.4320,152.9180,2.0,0,0,0,0,
2003-09-12 04:30:00,-35.5500,147.9800,3.0,0,0,0,0,
2003-09-12 06:30:00,-35.3200,149.1200,2.0,0,0,0,0,
2003-10-02 02:40:00,-31.5320,150.8350,3.0,0,0,0,0,
2003-10-02 03:40:00,-30.9820,150.2510,6.3,0,0,0,0,
2003-10-02 06:00:00,-29.5320,148.5680,4.4,0,0,0,0,
2003-10-05 05:45:00,-32.8100,151.3500,4.4,0,0,0,0,
2003-10-18 05:30:00,-34.2230,150.5930,4.4,0,0,0,0,
2003-10-20 07:40:00,-28.9480,153.4680,3.0,0,0,0,0,
2003-10-24 06:50:00,-28.9060,152.7220,7.5,0,0,0,0,
2003-10-25 00:00:00,-33.5150,151.3350,1.2,0,0,0,0,
2003-10-25 03:00:00,-31.9990,149.4850,3.0,0,0,0,0,
2003-10-25 03:00:00,-33.6990,150.5350,4.0,0,0,0,0,
2003-10-25 03:00:00,-33.6970,150.5680,2.5,0,0,0,0,
2003-10-25 03:10:00,-31.9990,151.9680,3.0,0,0,0,0,
2003-10-25 03:15:00,-33.7090,150.5850,4.4,0,0,0,0,
2003-10-25 03:40:00,-33.7490,150.7510,3.0,0,0,0,0,
2003-10-25 03:45:00,-33.7150,150.7510,6.3,0,0,0,0,
2003-10-25 04:00:00,-33.6570,150.8100,6.0,0,0,0,0,
2003-10-25 04:00:00,-33.6990,150.5350,3.5,0,0,0,0,
2003-10-25 04:15:00,-33.7150,150.7510,4.0,0,0,0,0,
2003-10-25 04:27:00,-33.7290,150.9540,3.2,0,0,0,0,
2003-10-25 04:30:00,-32.7400,151.6430,5.0,0,0,0,0,
2003-10-25 04:30:00,-33.6820,150.8680,0.0,0,0,0,0,
2003-10-25 04:35:00,-33.6600,150.9350,4.4,0,0,0,0,
2003-10-25 04:45:00,-33.6870,150.9900,2.0,0,0,0,0,
2003-10-25 05:00:00,-33.7070,151.1180,3.0,0,0,0,0,
2003-10-25 05:30:00,-33.6070,151.1430,3.8,0,0,0,0,
2003-10-25 05:30:00,-33.4900,150.9430,4.4,0,0,0,0,
2003-10-25 06:15:00,-28.9060,152.7220,5.0,0,0,0,0,
2003-10-25 06:20:00,-30.3150,153.1180,2.5,0,0,0,0,
2003-10-25 13:25:00,-33.6820,150.6010,3.5,0,0,0,0,
2003-10-26 04:00:00,-28.6250,153.0120,8.0,0,0,0,0,
2003-10-26 04:05:00,-29.6320,153.0350,4.4,0,0,0,0,
2003-10-26 04:25:00,-29.5320,153.1850,10.0,0,0,0,0,
2003-10-26 04:30:00,-29.5150,153.1350,7.5,0,0,0,0,
2003-11-02 02:30:00,-34.5900,150.7430,2.0,0,0,0,0,
2003-11-10 02:45:00,-33.6990,149.8680,2.5,0,0,0,0,
2003-11-16 02:45:00,-35.3600,149.2300,3.5,0,0,0,0,
2003-11-21 00:15:00,-34.7490,146.5510,2.0,0,0,0,0,
2003-11-21 00:30:00,-34.5490,146.4010,1.0,0,0,0,0,
2003-12-11 18:55:00,-35.2150,148.0350,3.0,0,0,0,0,
2003-12-12 04:57:00,-32.2490,148.6010,7.0,0,0,0,0,
2003-12-12 07:51:00,-30.9320,148.3680,4.4,0,0,0,0,
2003-12-27 08:45:00,-29.9320,151.0350,1.0,0,0,0,0,
2004-01-07 05:15:00,-31.9820,151.5850,1.3,0,0,0,0,
2004-01-21 04:20:00,-36.0650,146.9010,2.0,0,0,0,0,
2004-01-21 08:55:00,-35.7150,150.1850,0.5,0,0,0,0,
2004-01-23 05:00:00,-32.2490,148.6010,2.0,0,0,0,0,
2004-01-23 06:00:00,-29.7820,151.1180,2.5,0,0,0,0,
2004-01-23 10:30:00,-28.6840,153.0020,0.0,0,0,0,0,
2004-01-24 03:10:00,-31.9990,151.9680,2.4,0,0,0,0,
2004-01-24 03:10:00,-32.6650,151.6010,4.0,0,0,0,0,
2004-01-24 04:00:00,-34.5900,150.5930,3.0,0,0,0,0,
2004-01-24 05:00:00,-34.5820,150.8760,2.0,0,0,0,0,
2004-01-24 06:05:00,-32.7650,151.7350,3.5,0,0,0,0,
2004-01-24 07:00:00,-29.7820,151.1180,3.0,0,0,0,0,
2004-01-24 07:10:00,-30.4320,152.6680,4.4,0,0,0,0,
2004-01-25 01:10:00,-33.4880,151.3100,2.0,0,0,0,0,
2004-01-25 01:45:00,-31.2650,150.7350,5.0,0,0,0,0,
2004-01-25 02:45:00,-31.2650,150.7350,5.0,0,0,0,0,
2004-01-25 05:00:00,-31.5650,149.9850,6.3,0,0,0,0,
2004-01-25 06:40:00,-29.7820,151.1180,6.3,0,0,0,0,
2004-01-26 11:30:00,-31.9990,151.9680,4.4,0,0,0,0,
2004-01-27 02:00:00,-34.4820,150.4180,2.0,0,0,0,0,
2004-01-27 02:45:00,-34.7150,150.1510,0.0,0,0,0,0,
2004-01-27 07:20:00,-32.5650,151.1680,7.0,0,0,0,0,
2004-01-27 09:00:00,-28.8150,153.2850,3.0,0,0,0,0,
2004-01-28 02:30:00,-30.2650,153.1350,5.0,0,0,0,0,
2004-01-28 04:00:00,-33.4150,150.7850,2.5,0,0,0,0,
2004-01-28 04:30:00,-33.3820,150.9850,2.5,0,0,0,0,
2004-01-28 04:45:00,-30.3150,153.1180,2.0,0,0,0,0,
2004-01-30 03:30:00,-35.7150,150.1850,2.2,0,0,0,0,
2004-01-30 04:15:00,-29.1150,153.4350,6.0,0,0,0,0,
2004-01-30 04:15:00,-28.9150,152.3680,4.0,0,0,0,0,
2004-02-02 02:50:00,-35.4320,149.1680,2.0,0,0,0,0,
2004-02-02 03:00:00,-34.5900,150.5930,2.0,0,0,0,0,
2004-02-02 03:15:00,-33.5980,150.7510,4.0,0,0,0,0,
2004-02-02 03:20:00,-34.5490,150.8430,3.8,0,0,0,0,
2004-02-02 03:20:00,-34.5820,150.8760,4.2,0,0,0,0,
2004-02-02 04:00:00,-35.9150,150.1510,3.0,0,0,0,0,
2004-02-29 08:00:00,-32.0490,152.2680,2.0,0,0,0,0,
2004-03-18 03:20:00,-31.0820,152.8350,4.0,0,0,0,0,
2004-03-21 07:00:00,-33.3820,148.0010,10.0,0,0,0,0,
2004-05-07 11:15:00,-34.5820,150.8760,3.0,0,0,0,0,
2004-08-28 10:30:00,-32.0500,151.9100,3.0,0,0,0,0,
2004-09-05 04:00:00,-33.5200,151.0600,2.5,0,0,0,0,
2004-09-05 05:30:00,-33.9400,151.1700,4.4,0,0,0,0,
2004-09-05 09:40:00,-33.7900,151.0200,2.0,0,0,0,0,
2004-09-19 04:45:00,-34.1800,150.6200,3.0,0,0,0,0,
2004-09-19 07:47:00,-33.6000,151.2000,2.0,0,0,0,0,
2004-09-19 08:30:00,-33.7200,150.3000,3.0,0,0,0,0,
2004-09-19 10:00:00,-32.9200,151.8000,5.5,0,0,0,0,
2004-10-22 04:20:00,-30.9900,151.5900,2.0,0,0,0,0,
2004-10-24 06:30:00,-33.5200,151.1400,6.0,0,0,0,0,
2004-10-24 06:45:00,-31.8900,152.5500,4.4,0,0,0,0,
2004-10-24 07:05:00,-32.3200,150.7600,12.0,0,0,0,0,
2004-10-24 08:40:00,-31.4400,152.9200,3.0,0,0,0,0,
2004-10-24 09:30:00,-33.7300,150.2300,5.0,0,0,0,0,
2004-10-24 12:00:00,-32.5900,149.5800,2.0,0,0,0,0,
2004-10-24 12:00:00,-31.4400,152.9200,2.0,0,0,0,0,
2004-11-02 03:25:00,-35.3200,149.1200,4.4,0,0,0,0,
2004-11-08 02:30:00,-30.3400,152.7100,3.0,0,0,0,0,
2004-11-08 06:50:00,-28.2900,153.3600,2.0,0,0,0,0,
2004-11-09 05:30:00,-28.8800,153.0500,8.0,0,0,0,0,
2004-12-06 06:00:00,-32.0700,146.3200,4.4,0,0,0,0,
2004-12-08 05:00:00,-33.1900,149.0100,3.0,0,0,0,0,
2004-12-08 05:45:00,-35.3700,145.4800,2.5,0,0,0,0,
2004-12-08 06:30:00,-34.6800,149.5700,2.5,0,0,0,0,
2004-12-08 08:00:00,-28.8100,153.2600,2.0,0,0,0,0,
2004-12-08 11:00:00,-32.7700,147.8500,3.0,0,0,0,0,
2004-12-11 09:00:00,-34.2200,144.4600,4.4,0,0,0,0,
2004-12-12 05:00:00,-28.4800,153.2400,2.0,0,0,0,0,
2004-12-13 03:30:00,-33.2100,150.4300,8.0,0,0,0,0,
2004-12-13 03:40:00,-27.0700,149.2500,4.4,0,0,0,0,
2004-12-13 04:45:00,-33.8700,151.2200,6.5,0,0,0,0,
2004-12-13 05:00:00,-28.8100,153.2600,3.0,0,0,0,0,
2004-12-13 05:00:00,-32.9100,151.4800,5.5,0,0,0,0,
2004-12-19 05:00:00,-32.0500,150.8500,2.0,0,0,0,0,
2004-12-19 05:10:00,-35.5600,151.3600,4.0,0,0,0,0,
2004-12-23 06:20:00,-29.1800,153.3900,4.5,0,0,0,0,
2004-12-23 21:45:00,-34.6800,149.5700,3.0,0,0,0,0,
2004-12-24 03:30:00,-33.6300,150.2800,2.5,0,0,0,0,
2004-12-24 03:40:00,-33.6300,150.2800,2.5,0,0,0,0,
2004-12-27 02:00:00,-29.6700,151.1500,3.0,0,0,0,0,
2004-12-27 02:30:00,-29.5000,151.3000,1.5,0,0,0,0,
2004-12-27 03:15:00,-29.6700,151.1500,4.5,0,0,0,0,
2004-12-27 03:40:00,-36.3500,149.5900,3.0,0,0,0,0,
2004-12-27 06:40:00,-29.0600,153.2600,2.5,0,0,0,0,
2005-01-15 07:40:00,-35.7200,150.1800,3.0,0,0,0,0,
2005-01-15 07:40:00,-35.7300,150.0500,3.0,0,0,0,0,
2005-01-20 01:00:00,-35.4600,149.1000,3.0,0,0,0,0,
2005-01-20 02:00:00,-34.7100,146.5100,5.0,0,0,0,0,
2005-01-20 02:55:00,-35.3800,149.3900,2.0,0,0,0,0,
2005-01-20 02:55:00,-34.5700,150.2600,4.0,0,0,0,0,
2005-01-20 03:15:00,-35.2400,148.9900,3.0,0,0,0,0,
2005-01-20 03:40:00,-34.6100,150.2500,6.0,0,0,0,0,
2005-01-20 04:00:00,-33.4300,149.5600,2.0,0,0,0,0,
2005-01-20 04:35:00,-33.5300,149.2500,3.0,0,0,0,0,
2005-01-20 04:55:00,-34.6800,150.8500,2.0,0,0,0,0,
2005-01-20 05:09:00,-30.8000,149.5500,3.5,0,0,0,0,
2005-01-20 05:35:00,-34.5600,150.8300,2.0,0,0,0,0,
2005-01-20 06:30:00,-34.6800,150.8500,4.0,0,0,0,0,
2005-01-20 06:35:00,-32.7800,151.7300,3.4,0,0,0,0,
2005-01-20 07:25:00,-29.6200,149.3800,2.0,0,0,0,0,
2005-01-20 07:30:00,-32.7800,151.7300,4.0,0,0,0,0,
2005-01-20 07:56:00,-32.8700,150.3000,3.0,0,0,0,0,
2005-01-20 08:00:00,-32.4000,152.0300,2.5,0,0,0,0,
2005-01-20 08:14:00,-33.7200,150.3000,5.0,0,0,0,0,
2005-01-20 09:50:00,-33.7100,150.3300,2.5,0,0,0,0,
2005-01-20 11:00:00,-33.8902,150.9096,2.0,0,0,0,0,
2005-01-20 12:59:00,-33.4200,151.0700,4.0,0,0,0,0,
2005-01-20 21:30:00,-35.3700,145.4800,2.5,0,0,0,0,
2005-01-22 04:46:00,-30.1600,151.8800,3.0,0,0,0,0,
2005-01-22 06:30:00,-34.7200,150.0000,4.0,0,0,0,0,
2005-02-02 03:00:00,-33.7200,149.7800,6.0,0,0,0,0,
2005-02-02 04:41:00,-34.1700,150.3500,3.0,0,0,0,0,
2005-02-02 05:00:00,-33.7200,150.9500,5.0,0,0,0,0,
2005-02-02 05:13:00,-33.8000,150.9000,5.0,0,0,0,0,
2005-02-02 05:41:00,-33.4300,151.3400,4.0,0,0,0,0,
2005-02-02 06:00:00,-33.7100,151.1200,3.0,0,0,0,0,
2005-02-19 03:50:00,-33.7400,150.6000,3.0,0,0,0,0,
2005-02-19 04:10:00,-33.6800,150.6200,3.0,0,0,0,0,
2005-02-19 05:10:00,-33.7700,150.9800,2.0,0,0,0,0,
2005-02-20 05:30:00,-32.9100,151.3300,4.0,0,0,0,0,
2005-03-03 07:00:00,-33.7346,150.8790,2.0,0,0,0,0,
2005-03-03 07:00:00,-33.7500,150.6800,2.0,0,0,0,0,
2005-03-03 07:00:00,-33.8152,151.0012,2.0,0,0,0,0,
2005-03-03 07:30:00,-32.8700,150.3000,4.0,0,0,0,0,
2005-03-16 03:20:00,-33.6300,150.2800,2.0,0,0,0,0,
2005-03-26 05:30:00,-29.0100,153.4300,3.0,0,0,0,0,
2005-04-29 06:00:00,-35.3577,150.4607,4.0,0,0,0,0,
2005-04-29 07:00:00,-34.6800,150.8500,4.0,0,0,0,0,
2005-09-10 06:00:00,-35.6650,147.0350,2.0,0,0,0,0,
2005-09-27 04:30:00,-28.6485,153.1179,4.4,0,0,0,0,
2005-10-13 07:15:00,-35.2500,147.3400,3.0,0,0,0,0,
2005-10-13 09:40:00,-35.2167,149.1330,3.0,0,0,0,0,
2005-10-13 10:20:00,-35.2000,149.0167,3.0,0,0,0,0,
2005-10-13 10:45:00,-35.3200,149.1200,3.0,0,0,0,0,
2005-10-14 04:00:00,-31.8800,152.3600,4.4,0,0,0,0,
2005-10-23 09:25:00,-31.5485,152.4012,2.5,0,0,0,0,
2005-10-23 09:25:00,-31.3300,152.8000,2.0,0,0,0,0,
2005-10-24 03:20:00,-32.4000,151.9700,4.0,0,0,0,0,
2005-10-24 03:20:00,-32.4100,152.2100,4.0,0,0,0,0,
2005-10-24 04:00:00,-32.2400,151.6800,2.5,0,0,0,0,
2005-10-24 04:56:00,-31.0600,152.8300,4.0,0,0,0,0,
2005-10-24 04:58:00,-31.9500,151.7900,1.5,0,0,0,0,
2005-10-24 09:00:00,-31.3300,152.8000,2.0,0,0,0,0,
2005-10-25 04:10:00,-29.6800,152.9300,3.0,0,0,0,0,
2005-10-27 03:00:00,-30.7400,151.5300,4.0,0,0,0,0,
2005-10-27 04:12:00,-30.5200,151.6700,2.5,0,0,0,0,
2005-10-27 05:00:00,-30.3200,153.1200,2.0,0,0,0,0,
2005-10-27 05:40:00,-29.6800,152.9300,2.0,0,0,0,0,
2005-10-27 07:00:00,-31.9500,151.7900,2.5,0,0,0,0,
2005-11-10 03:55:00,-34.5800,150.8700,3.0,0,0,0,0,
2005-11-21 07:00:00,-30.3800,150.6100,3.0,0,0,0,0,
2005-11-21 17:30:00,-29.3500,150.5800,2.0,0,0,0,0,
2005-11-22 07:15:00,-33.3300,148.9800,3.0,0,0,0,0,
2005-11-22 09:30:00,-33.7500,150.6800,2.0,0,0,0,0,
2005-11-23 06:00:00,-33.1900,149.0100,2.0,0,0,0,0,
2005-11-24 04:45:00,-33.4985,148.3012,2.0,0,0,0,0,
2005-11-25 02:00:00,-33.4410,148.8371,4.0,0,0,0,0,
2005-11-25 07:00:00,-30.8800,148.8000,4.0,0,0,0,0,
2005-11-26 05:35:00,-35.2300,149.1000,2.0,0,0,0,0,
2005-11-26 07:05:00,-33.3300,148.9800,3.0,0,0,0,0,
2005-11-26 07:50:00,-31.7200,148.6700,4.0,0,0,0,0,
2005-11-26 09:55:00,-33.5300,149.2500,3.0,0,0,0,0,
2005-11-27 00:30:00,-30.9300,151.7200,4.0,0,0,0,0,
2005-11-27 03:30:00,-29.6800,152.9300,3.0,0,0,0,0,
2005-12-01 03:30:00,-34.0490,150.6850,2.5,0,0,0,0,
2005-12-01 04:00:00,-32.7263,151.6318,4.0,0,0,0,0,
2005-12-01 04:35:00,-35.3652,148.1512,4.0,0,0,0,0,
2005-12-01 04:40:00,-33.4300,151.3400,6.0,0,0,0,0,
2005-12-01 04:45:00,-32.9100,151.7800,2.0,0,0,0,0,
2005-12-01 04:45:00,-33.4300,151.3400,4.5,0,0,0,0,
2005-12-01 05:30:00,-29.5000,151.3000,3.0,0,0,0,0,
2005-12-01 05:30:00,-32.8200,151.8400,3.0,0,0,0,0,
2005-12-01 05:35:00,-32.8200,151.8400,3.5,0,0,0,0,
2005-12-01 08:40:00,-29.0500,152.0200,3.0,0,0,0,0,
2005-12-06 16:30:00,-35.9900,146.3800,5.0,0,0,0,0,
2005-12-08 03:00:00,-31.9900,151.9700,3.5,0,0,0,0,
2005-12-08 03:40:00,-31.8800,152.3700,5.5,0,0,0,0,
2005-12-08 04:40:00,-28.9400,153.4600,2.5,0,0,0,0,
2005-12-17 05:00:00,-28.7600,153.2500,2.5,0,0,0,0,
2005-12-17 05:10:00,-28.8500,153.0500,4.0,0,0,0,0,
2005-12-17 07:50:00,-28.7300,153.4100,2.8,0,0,0,0,
2005-12-17 08:10:00,-33.7500,151.3000,2.0,0,0,0,0,
2005-12-28 03:50:00,-32.9900,151.5900,3.5,0,0,0,0,
2005-12-28 05:25:00,-30.9900,151.1600,2.5,0,0,0,0,
2006-01-06 05:00:00,-34.6800,149.5700,3.0,0,0,0,0,
2006-01-06 05:30:00,-35.5100,149.0700,4.0,0,0,0,0,
2006-01-06 08:10:00,-33.4300,149.5600,2.0,0,0,0,0,
2006-01-12 04:30:00,-31.1700,150.5400,4.0,0,0,0,0,
2006-01-24 00:00:00,-32.5900,149.5800,4.4,0,0,0,0,
2006-02-13 07:45:00,-29.5000,151.3000,3.0,0,0,0,0,
2006-02-15 08:30:00,-35.0300,149.2600,5.0,0,0,0,0,
2006-02-18 05:35:00,-33.7200,150.7500,3.0,0,0,0,0,
2006-02-20 07:00:00,-29.5000,151.3000,2.0,0,0,0,0,
2006-02-20 07:00:00,-32.2900,149.7400,5.6,0,0,0,0,
2006-08-15 06:50:00,-33.9920,151.0760,3.0,0,0,0,0,
2006-09-06 00:00:00,-33.8700,151.2200,5.0,0,0,0,0,
2006-09-27 04:15:00,-29.6200,149.3800,3.0,0,0,0,0,
2006-10-31 05:05:00,-32.9150,151.7510,4.0,0,0,0,0,
2006-10-31 05:07:00,-32.9650,151.7010,2.0,0,0,0,0,
2006-10-31 05:20:00,-32.9200,151.7900,4.4,0,0,0,0,
2006-10-31 05:20:00,-32.9250,151.7760,2.0,0,0,0,0,
2006-10-31 05:20:00,-32.9240,151.7850,3.0,0,0,0,0,
2006-10-31 05:21:00,-32.9200,151.7900,7.0,0,0,0,0,
2006-10-31 05:30:00,-32.8980,151.6680,4.0,0,0,0,0,
2006-11-01 04:00:00,-30.6700,152.7700,3.0,0,0,0,0,
2006-11-08 01:50:00,-28.7600,152.4500,3.0,0,0,0,0,
2006-11-08 02:50:00,-29.8320,152.8850,4.4,0,0,0,0,
2006-11-08 03:10:00,-29.6820,152.9680,5.0,0,0,0,0,
2006-11-08 03:20:00,-29.6300,153.0300,2.4,0,0,0,0,
2006-11-13 04:15:00,-31.0000,151.2330,2.0,0,0,0,0,
2006-11-15 04:00:00,-28.1790,153.5380,4.4,0,0,0,0,
2006-11-15 04:00:00,-28.2620,153.5770,2.4,0,0,0,0,
2006-11-27 06:15:00,-29.6490,151.2180,2.5,0,0,0,0,
2006-11-28 04:40:00,-32.9200,151.7900,2.0,0,0,0,0,
2006-11-28 07:00:00,-31.0150,150.9850,2.0,0,0,0,0,
2006-11-28 07:00:00,-31.2300,150.9000,4.4,0,0,0,0,
2006-11-29 08:30:00,-29.6800,152.9300,3.0,0,0,0,0,
2006-12-12 04:30:00,-30.4410,151.3530,4.0,0,0,0,0,
2006-12-12 04:30:00,-30.7400,151.5300,5.0,0,0,0,0,
2006-12-14 03:27:00,-29.9320,152.7180,5.0,0,0,0,0,
2006-12-20 04:45:00,-33.4170,149.5810,2.0,0,0,0,0,
2006-12-21 04:30:00,-30.5200,151.6700,5.0,0,0,0,0,
2006-12-29 05:00:00,-35.3600,149.2300,4.4,0,0,0,0,
2006-12-30 05:30:00,-35.2670,149.0670,4.4,0,0,0,0,
2007-02-01 07:10:00,-33.1900,149.0100,3.8,0,0,0,0,
2007-02-07 04:30:00,-33.5700,150.1200,6.0,0,0,0,0,
2007-02-07 05:10:00,-33.1900,149.0100,5.0,0,0,0,0,
2007-02-07 05:15:00,-31.7100,148.6700,1.5,0,0,0,0,
2007-02-07 06:30:00,-31.7200,148.6700,2.4,0,0,0,0,
2007-02-08 05:15:00,-33.4200,149.5800,2.1,0,0,0,0,
2007-02-10 02:30:00,-33.4200,149.5800,2.0,0,0,0,0,
2007-02-10 04:21:00,-32.8000,149.9700,5.0,0,0,0,0,
2007-02-10 04:30:00,-29.2300,152.0000,4.5,0,0,0,0,
2007-02-12 05:12:00,-33.7350,150.4790,2.4,0,0,0,0,
2007-02-23 04:00:00,-33.6300,150.2800,2.2,0,0,0,0,
2007-02-25 04:30:00,-30.3400,152.7100,3.0,0,0,0,0,
2007-02-27 11:00:00,-35.3200,149.1200,2.0,0,0,0,0,
2007-02-28 06:30:00,-31.3480,149.8350,7.0,0,0,0,0,
2007-02-28 06:30:00,-32.7260,151.6320,6.5,0,0,0,0,
2007-03-01 06:30:00,-34.0600,150.8600,2.0,0,0,0,0,
2007-03-02 04:15:00,-29.6800,152.9300,4.4,0,0,0,0,
2007-03-02 04:20:00,-29.6800,152.9300,3.0,0,0,0,0,
2007-03-02 04:31:00,-29.6800,152.9300,2.4,0,0,0,0,
2007-03-08 05:10:00,-34.1820,150.6010,2.0,0,0,0,0,
2007-03-20 06:55:00,-32.8320,151.6850,2.0,0,0,0,0,
2007-05-16 04:10:00,-33.4000,142.5700,4.4,0,0,0,0,
2007-07-08 23:00:00,-33.9300,151.2300,3.0,0,0,0,0,
2007-07-26 22:20:00,-34.6485,148.0346,2.5,0,0,0,0,
